family,endpoint,contrast_definition,contrast_value,favorable_direction,direction_is_favorable,zero_is_neutral,independent_stochastic_realization_count,interpretation
1,lr_absolute_phase_error_burden,dynamic_MT_minus_static_matched_MT,-0.487052542253173,negative,True,False,1,favorable_within_frozen_realization
2,fe_absolute_phase_error_burden,dynamic_MT_minus_static_matched_MT,-0.202077752055013,negative,True,False,1,favorable_within_frozen_realization
3,lr_phase_slip_probability_burden,dynamic_MT_minus_static_matched_MT,-0.014777980381995265,negative,True,False,1,favorable_within_frozen_realization
4,fe_phase_slip_probability_burden,dynamic_MT_minus_static_matched_MT,0.019064989388390973,negative,False,False,1,unfavorable_within_frozen_realization
5,bounded_cycle_interval_cv_burden,dynamic_MT_minus_static_matched_MT,0.0028418998185212735,negative,False,False,1,unfavorable_within_frozen_realization
6,bilateral_mn_amplitude_imbalance_burden,dynamic_MT_minus_static_matched_MT,-0.00415507104893741,negative,True,False,1,favorable_within_frozen_realization
7,rg_to_pf_missed_transfer_probability_burden,dynamic_MT_minus_static_matched_MT,0.0,negative,False,True,1,neutral_within_frozen_realization
8,rg_to_mn_missed_transfer_probability_burden,dynamic_MT_minus_static_matched_MT,0.0,negative,False,True,1,neutral_within_frozen_realization
9,four_second_nonrecovery_burden_s,dynamic_MT_minus_static_matched_MT,-0.19932500000000086,negative,True,False,1,favorable_within_frozen_realization
10,postchallenge_rg_to_mn_transfer_deficit_difference_in_differences,challenge_by_route_impairment_difference_in_differences_on_RG_to_MN_transfer,0.00010347469237082935,negative,False,False,1,unfavorable_within_frozen_realization
