comparison_type,intervention_or_pair,pulse,phase_analysis_window,design_cell_count,rhythmic_to_rhythmic_count,rhythmic_to_failure_count,failure_to_rhythmic_count,failure_to_failure_count,lr_phase_delta_deg_complete_cells,lr_phase_delta_deg_median,lr_phase_delta_deg_range_min,lr_phase_delta_deg_range_max,lr_phase_delta_deg_negative_cells,lr_phase_delta_deg_neutral_cells,lr_phase_delta_deg_positive_cells,fe_phase_delta_deg_complete_cells,fe_phase_delta_deg_median,fe_phase_delta_deg_range_min,fe_phase_delta_deg_range_max,fe_phase_delta_deg_negative_cells,fe_phase_delta_deg_neutral_cells,fe_phase_delta_deg_positive_cells,lr_nonadditivity_deg_complete_cells,lr_nonadditivity_deg_median,lr_nonadditivity_deg_range_min,lr_nonadditivity_deg_range_max,lr_nonadditivity_deg_negative_cells,lr_nonadditivity_deg_neutral_cells,lr_nonadditivity_deg_positive_cells,fe_nonadditivity_deg_complete_cells,fe_nonadditivity_deg_median,fe_nonadditivity_deg_range_min,fe_nonadditivity_deg_range_max,fe_nonadditivity_deg_negative_cells,fe_nonadditivity_deg_neutral_cells,fe_nonadditivity_deg_positive_cells,recovery_eligible_cells,recovery_event_observed_cells,recovery_eligible_without_event_cells,recovery_ineligible_cells,recovery_observed_time_complete_cells,recovery_observed_time_median_s,recovery_observed_time_range_min_s,recovery_observed_time_range_max_s,aggregation_basis,independent_stochastic_realization_count,inferential_scope,generated_at_utc,publication_script_version,publication_script_sha256,protocol_spec_sha256,locked_protocol_sha256,source_a_to_d_script_sha256,source_e_f_script_sha256,source_g_h_script_sha256,output_row_count
single_minus_intact,V1Ia,none,whole_run,9,9,0,0,0,9,-2.275905145,-10.26674405,4.0420473,7,0,2,9,4.076964495,-9.208889934,14.8923522,1,0,8,0,,,,0,0,0,0,,,,0,0,0,,,,,0,,,,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,48
single_minus_intact,V1Ia,excitatory,post_pulse,9,9,0,0,0,9,-8.28115199,-45.55453421,8.918166988,5,0,4,9,-3.479449665,-24.21781214,23.8661887,5,0,4,0,,,,0,0,0,0,,,,0,0,0,9,6,3,0,6,1.40615,0.545025,2.267275,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,48
single_minus_intact,V1Ia,inhibitory,post_pulse,9,9,0,0,0,9,-5.627646289,-9.336170963,5.735003807,8,0,1,9,1.375150877,0.5536531747,12.45903004,0,0,9,0,,,,0,0,0,0,,,,0,0,0,9,6,3,0,6,0.03815,0.036275,0.040025,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,48
single_minus_intact,V1Ren,none,whole_run,9,9,0,0,0,9,-6.70491737,-9.322724091,0.4311718406,8,0,1,9,0.4545592861,-1.869858711,9.736432681,3,0,6,0,,,,0,0,0,0,,,,0,0,0,,,,,0,,,,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,48
single_minus_intact,V1Ren,excitatory,post_pulse,9,9,0,0,0,9,6.733792841,-20.67548069,34.64647648,4,0,5,9,-1.053124676,-21.64343264,10.49114935,5,0,4,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,1.6006,0.586025,2.535575,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,48
single_minus_intact,V1Ren,inhibitory,post_pulse,9,9,0,0,0,9,-6.47034842,-9.638182951,-2.244207262,9,0,0,9,-0.9468252165,-2.540724023,1.294957784,5,0,4,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,0.0546,0.042575,0.061125,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,48
single_minus_intact,V2b,none,whole_run,9,9,0,0,0,9,3.944840956,-0.3211899758,44.78089936,1,0,8,9,10.3057721,0.7849361703,39.89803823,0,0,9,0,,,,0,0,0,0,,,,0,0,0,,,,,0,,,,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,48
single_minus_intact,V2b,excitatory,post_pulse,9,9,0,0,0,9,-1.535920051,-30.58196995,38.83784248,5,0,4,9,-3.362389836,-25.47488755,33.81589996,5,0,4,0,,,,0,0,0,0,,,,0,0,0,9,6,3,0,6,0.9040625,0.51375,2.17765,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,48
single_minus_intact,V2b,inhibitory,post_pulse,9,9,0,0,0,9,2.389610813,-10.77013339,38.66342371,4,0,5,9,2.408104659,0.4525087033,18.64018401,0,0,9,0,,,,0,0,0,0,,,,0,0,0,9,6,3,0,6,0.2520375,0.038925,1.59075,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,48
single_minus_intact,V2a,none,whole_run,9,9,0,0,0,9,-0.6747481065,-8.571437121,18.93935156,6,0,3,9,2.99164256,-5.501785833,8.376200714,4,0,5,0,,,,0,0,0,0,,,,0,0,0,,,,,0,,,,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,48
single_minus_intact,V2a,excitatory,post_pulse,9,9,0,0,0,9,2.982517061,-19.40107985,34.66602718,3,0,6,9,1.30389406,-21.82230183,6.687921194,4,0,5,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,1.681275,0.55825,2.19255,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,48
