intended_route,pulse,design_cell_count,rhythmic_to_rhythmic_count,rhythmic_to_failure_count,failure_to_rhythmic_count,failure_to_failure_count,lr_phase_delta_deg_complete_cells,lr_phase_delta_deg_median,lr_phase_delta_deg_range_min,lr_phase_delta_deg_range_max,lr_phase_delta_deg_negative_cells,lr_phase_delta_deg_neutral_cells,lr_phase_delta_deg_positive_cells,fe_phase_delta_deg_complete_cells,fe_phase_delta_deg_median,fe_phase_delta_deg_range_min,fe_phase_delta_deg_range_max,fe_phase_delta_deg_negative_cells,fe_phase_delta_deg_neutral_cells,fe_phase_delta_deg_positive_cells,pf_propagation_gap_delta_complete_cells,pf_propagation_gap_delta_median,pf_propagation_gap_delta_range_min,pf_propagation_gap_delta_range_max,pf_propagation_gap_delta_negative_cells,pf_propagation_gap_delta_neutral_cells,pf_propagation_gap_delta_positive_cells,mn_propagation_gap_delta_complete_cells,mn_propagation_gap_delta_median,mn_propagation_gap_delta_range_min,mn_propagation_gap_delta_range_max,mn_propagation_gap_delta_negative_cells,mn_propagation_gap_delta_neutral_cells,mn_propagation_gap_delta_positive_cells,route_mt_support_delta_complete_cells,route_mt_support_delta_median,route_mt_support_delta_range_min,route_mt_support_delta_range_max,route_mt_support_delta_negative_cells,route_mt_support_delta_neutral_cells,route_mt_support_delta_positive_cells,route_rrp_delta_complete_cells,route_rrp_delta_median,route_rrp_delta_range_min,route_rrp_delta_range_max,route_rrp_delta_negative_cells,route_rrp_delta_neutral_cells,route_rrp_delta_positive_cells,route_replenishment_resource_delta_complete_cells,route_replenishment_resource_delta_median,route_replenishment_resource_delta_range_min,route_replenishment_resource_delta_range_max,route_replenishment_resource_delta_negative_cells,route_replenishment_resource_delta_neutral_cells,route_replenishment_resource_delta_positive_cells,recovery_eligible_cells,recovery_event_observed_cells,recovery_eligible_without_event_cells,recovery_ineligible_cells,recovery_observed_time_s_complete_cells,recovery_observed_time_s_median,recovery_observed_time_s_range_min,recovery_observed_time_s_range_max,recovery_observed_time_s_negative_cells,recovery_observed_time_s_neutral_cells,recovery_observed_time_s_positive_cells,aggregation_basis,independent_stochastic_realization_count,inferential_scope,generated_at_utc,publication_script_version,publication_script_sha256,protocol_spec_sha256,locked_protocol_sha256,source_a_to_d_script_sha256,source_e_f_script_sha256,source_g_h_script_sha256,output_row_count
RG,none,9,9,0,0,0,9,0.1001917426,-5.109835655,1.150952189,4,0,5,9,0.1422541386,-5.182846303,0.9445109457,3,0,6,9,0,0,0.01298701299,0,8,1,9,0,0,0.01315789474,0,7,2,9,-0.06245923576,-0.07938442653,-0.05667881136,9,0,0,9,-0.0005607322752,-0.0008346763605,-0.0004037472862,9,0,0,9,0.008911221236,0.007303503731,0.013595171,0,0,9,,,,,0,,,,0,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
RG,excitatory,9,9,0,0,0,9,0.1303040684,-17.37539699,22.51025205,4,0,5,9,-0.2203954482,-11.91543775,27.31094382,5,0,4,9,0,-0.01351351351,0.02816901408,2,6,1,9,0,-0.01351351351,0.01408450704,2,5,2,9,-0.06587341184,-0.0812641414,-0.05889573842,9,0,0,9,-0.0006064383508,-0.001040342199,-0.000416510286,9,0,0,9,0.009686794714,0.007736681196,0.01387044237,0,0,9,9,9,0,0,9,1.5413,0.5711,2.8339,0,0,9,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
RG,inhibitory,9,9,0,0,0,9,-0.3525882725,-5.879007006,2.330552888,5,0,4,9,0.03846927553,-4.383657952,0.545177358,3,0,6,9,0,-0.01351351351,0,1,8,0,9,0,-0.01351351351,0,2,7,0,9,-0.06284412767,-0.08000771905,-0.05671977788,9,0,0,9,-0.0005864630872,-0.0008707369862,-0.0003873578748,9,0,0,9,0.009014598339,0.007321788509,0.01358149495,0,0,9,9,9,0,0,9,0.055325,0.0151,1.7169,0,0,9,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
PF,none,9,9,0,0,0,9,0.03039713982,-10.82724485,5.29148442,4,0,5,9,-0.3726475631,-14.0961597,7.347511887,8,0,1,9,0,0,0,0,9,0,9,0,0,0,0,9,0,9,-0.09115365665,-0.1222862725,-0.08416481498,9,0,0,9,-0.0009851700735,-0.001230215922,-0.0006149080313,9,0,0,9,0.01606621191,0.01306371493,0.03008513861,0,0,9,,,,,0,,,,0,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
PF,excitatory,9,9,0,0,0,9,0.1445608819,-16.85700968,5.35105073,3,0,6,9,0.02364516252,-14.280437,5.85211782,4,0,5,9,0,-0.01351351351,0,1,8,0,9,0,-0.01351351351,0,1,8,0,9,-0.09510151328,-0.1217630454,-0.08769547105,9,0,0,9,-0.001215889498,-0.002799084705,-0.0007910389487,9,0,0,9,0.01707616748,0.01457635473,0.02747108959,0,0,9,9,9,0,0,9,0.584125,0.578325,1.64685,0,0,9,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
PF,inhibitory,9,9,0,0,0,9,-1.420871879,-5.577497408,2.74119681,5,0,4,9,-0.01054312042,-5.838100381,1.099181112,5,0,4,9,0,-0.01351351351,0,2,7,0,9,0,-0.01351351351,0,2,7,0,9,-0.09220912642,-0.1236002948,-0.08377589108,9,0,0,9,-0.001055597184,-0.002165158605,-0.0008253137752,9,0,0,9,0.01633632158,0.01357804043,0.03025352174,0,0,9,9,9,0,0,9,0.048325,0.024325,2.20785,0,0,9,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
MN,none,9,9,0,0,0,9,-0.1301498489,-13.12044858,11.18795089,5,0,4,9,-0.1424882411,-14.63500264,8.048894925,5,0,4,9,0,0,0,0,9,0,9,0,0,0,0,9,0,9,-0.09391974307,-0.1160456466,-0.09190803315,9,0,0,9,-0.001058815112,-0.001836021455,-0.000940616631,9,0,0,9,0.01669357329,0.01586778417,0.02573930608,0,0,9,,,,,0,,,,0,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
MN,excitatory,9,9,0,0,0,9,0.1554482056,-13.29057422,5.662073151,3,0,6,9,0.1418366257,-8.091418611,11.16366843,3,0,6,9,0,-0.01351351351,0,2,7,0,9,0,-0.01351351351,0,2,7,0,9,-0.09777613948,-0.1151951684,-0.094209722,9,0,0,9,-0.00115124901,-0.001812603568,-0.0009181313228,9,0,0,9,0.01830343855,0.01653607909,0.02464332921,0,0,9,9,9,0,0,9,1.164625,0.571075,1.649175,0,0,9,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
MN,inhibitory,9,9,0,0,0,9,-0.02585095362,-7.212839255,14.37606313,5,0,4,9,0.0119287897,-6.923700649,10.98219517,4,0,5,9,0,-0.01351351351,0.01315789474,2,6,1,9,0,-0.01351351351,0.01315789474,2,6,1,9,-0.09494691548,-0.1153862556,-0.09215209057,9,0,0,9,-0.001019888513,-0.002432847846,-0.0009023328852,9,0,0,9,0.01716223721,0.01592714589,0.02555955689,0,0,9,9,9,0,0,9,0.057425,0.023175,1.828075,0,0,9,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
V0D,none,9,9,0,0,0,9,-0.3163063316,-1.86486278,2.716080324,5,0,4,9,0.05915773152,-2.425927127,1.184054278,4,0,5,9,0,0,0,0,9,0,9,0,0,0,0,9,0,9,-0.04042648989,-0.05850578784,-0.03657381766,9,0,0,9,-0.0001915832431,-0.0002485905249,-7.690314372e-05,9,0,0,9,0.004059909202,0.003261762068,0.008136999596,0,0,9,,,,,0,,,,0,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
V0D,excitatory,9,9,0,0,0,9,-0.8931558241,-8.304737349,1.925695312,5,0,4,9,-0.08614679914,-13.93033481,2.435247222,6,0,3,9,0,-0.01351351351,0.01351351351,2,5,2,9,0,-0.01351351351,0.01351351351,2,5,2,9,-0.04408012157,-0.06138960169,-0.03991449705,9,0,0,9,-0.0003510432474,-0.001167785946,-0.000137224479,9,0,0,9,0.004594350507,0.004004914037,0.008625001599,0,0,9,9,9,0,0,9,1.157175,0.571075,2.077225,0,0,9,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,30
