task_id,simulation_id,reuse_count,stage,seed,protocol,speed,load,load_side,pulse,ablations,mt_mode,impaired_mt_routes,challenged_routes,fast_mode,label
A-f5f7fbbaaab5bb98,sim-432760137eb87e262d8ca8c6d913d3b622534f84370c4fd29d90be0d57cfa5b4,102,A,601,pulse,low,normal,L,none,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-636e64391d8f4614,sim-7644dc6cf2b51fa37f3928eade7e9449a8eb72eda77d6dcaf7f04b77dd93d1ea,102,A,601,pulse,low,normal,L,excitatory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-0f4212e8f6232e2e,sim-e21a47fea7a07980facb42be574bb90511846956abf8b94176eb02125c09b89c,102,A,601,pulse,low,normal,L,inhibitory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-b2dc7760b63302a0,sim-839acf8792aba7d0834e429699c8bc4b00d256ba4715b1ac5effd271878efe5a,101,A,601,pulse,low,unilateral,L,none,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-8ca6e24b08039925,sim-337dcb5e9fe33c42fe377718d7ffcddb1b61cedb692b0ac925a6cb4ca285c870,101,A,601,pulse,low,unilateral,L,excitatory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-e0315556196104ae,sim-21bc4196b2110292d6ea40f9519e3149ba599e6a548822c608742304a832e309,101,A,601,pulse,low,unilateral,L,inhibitory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-c7da983253c29731,sim-8f7c464bfaef6d9872ba8faf3688d8a27ee773b55f326156f7566237b90ed70f,101,A,601,pulse,low,bilateral_high,L,none,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-a2411942f92b6d13,sim-17ff8fd806376cb21272a515e05de70d1d60dc76ddde1951f774d7e030f81ef7,101,A,601,pulse,low,bilateral_high,L,excitatory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-8243c709e5912151,sim-612961f1a77ad8ea76087a0ca1f29af126a16a30e5e1986c3fe11204cdb8064c,101,A,601,pulse,low,bilateral_high,L,inhibitory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-f5146e744f6d7fbb,sim-3100a4c9d64d55ef35d6b88bbce790463db848910a62205b835f8c408378c688,103,A,601,pulse,medium,normal,L,none,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-34afcd268312e5cf,sim-14c7b8359ea417faf140e04d372c39164947017b9cfb7a082fcf8086724810d4,103,A,601,pulse,medium,normal,L,excitatory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-ff11d667ff896e3f,sim-74702bb7abe0bcb4d4e1b3725d686a36562aef742284caf692d9ba33ca567deb,103,A,601,pulse,medium,normal,L,inhibitory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-b9d5a53697c4c37f,sim-3867101d55873c9d6a6597b1ead96e0c8aca4b01888470cb05f122f8c21f9ba4,101,A,601,pulse,medium,unilateral,L,none,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-cee43df547b62439,sim-2285a2381258c0d50f6ecdc6c296dbbe4d18f026fcab6ff2fe0b1a09db4c20d3,101,A,601,pulse,medium,unilateral,L,excitatory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-982c739e5d6c2e24,sim-81493437e8e1328aa9889beaf5f5482bcdfd201b337ff653a47db2696f87f447,101,A,601,pulse,medium,unilateral,L,inhibitory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-c6a981c64ddd4be1,sim-012cc43ccf3c5db1d1a0cb4ea20b98b9a106efddaefcf0f0dd704bb4f87183f4,101,A,601,pulse,medium,bilateral_high,L,none,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-e9ba171a16f47e89,sim-9933dfa3762765d607401c30636d67c80e1a43b3c0cfd7e18e762b0a62c62135,101,A,601,pulse,medium,bilateral_high,L,excitatory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-f11bdf00b0a9a947,sim-68bf77a1d6e2efe0ad530385ab5858fb3afc390a4980eeddb89586fd443e7dc4,101,A,601,pulse,medium,bilateral_high,L,inhibitory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-8dba2e73c60413b7,sim-63e39df0624d9477ffc03e1e3ae426e7a7a24d9044a398f44504c01390c33111,102,A,601,pulse,high,normal,L,none,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-2ec4801446f83724,sim-9b64661a90bd62b6394f18ccdaead07412af9c8196de2128630a3a554edc317a,102,A,601,pulse,high,normal,L,excitatory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-a2233f553e5a27f9,sim-a89cb355605461dced7273f3338d19c6f90f621b72a3a8a2993e170505ffdb08,102,A,601,pulse,high,normal,L,inhibitory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-667b4547b72edbf0,sim-004ade17fe779a3de02ab4ec94be8118df2203d3462df87b11e9012ee1debe08,101,A,601,pulse,high,unilateral,L,none,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-3e967ef0416dc7f6,sim-c7cbd9689b0896cfb9ad89aeca887981e0f242b6c4f01e2368cac44df6195cbf,101,A,601,pulse,high,unilateral,L,excitatory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-340f4e3dca50344f,sim-b02eb357022afa0a353479c09c7b89667667afb848d475614d13760dd5ced3a9,101,A,601,pulse,high,unilateral,L,inhibitory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-0c7c92807db800a8,sim-5879fee38d056c37aa793faf69f22ee5c66f0dfbb9540b3dc2e9d2210f442eaf,101,A,601,pulse,high,bilateral_high,L,none,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-b092b79d35a40745,sim-4b6bf86dc120ab118f0f7bf187f36129bb5856b743bef37b199ee6e80fc94ef2,101,A,601,pulse,high,bilateral_high,L,excitatory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
A-b70b508850ae8033,sim-7e511d4d1387f45e4fca2247dd360a64974b111a1b13c31dc7f754bb8ff1ac53,101,A,601,pulse,high,bilateral_high,L,inhibitory,none,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,intact
B-0a707c6f6b812fcd,sim-e10d1345c32a59d24e56fc4962bfb81cba576bd79237a5b1dc27c5fc12a4a6c8,12,B,601,pulse,low,normal,L,none,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-d13a5df1659264a8,sim-f75d7eba19ff438e95f0f588071c78ab9988819e597964267cb04ca9785cfb67,12,B,601,pulse,low,normal,L,excitatory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-23932437ca7d3c50,sim-33f007af43a2a5a0ae5368363831c6656bf60ed32d51c439c3bdf5f697a3c897,12,B,601,pulse,low,normal,L,inhibitory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-38eef61bceade50c,sim-9477737575ff196be10752a02674ec3da2fefc9ff89c0090a3c6c7536fc3cca7,11,B,601,pulse,low,unilateral,L,none,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-c442fa864be4eade,sim-c6c5ce530762b0ba7bb3542a98d1642a8b2e2187a73356a17094659abe1e935e,11,B,601,pulse,low,unilateral,L,excitatory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-eb171d15928329da,sim-deab706cdbdce16b0edd92e65cb4de521855531f968d3a8c3ed4b91d70a8ee75,11,B,601,pulse,low,unilateral,L,inhibitory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-c47f44e5adef9d69,sim-9802759feffe3cab997bcebeadf288727be074c290a872f3c33b3ea6d7ba8c19,11,B,601,pulse,low,bilateral_high,L,none,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-09ca4a460555b17e,sim-580d4697f4f2e1e738b66ba734bbaa3b640009f56d14f81ed7cff4adb3ee0f8c,11,B,601,pulse,low,bilateral_high,L,excitatory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-59b2070257aa1747,sim-21b144f927319d88d84fc3bf5f0d618a12dc5929bdb558c1514df26adfe9add9,11,B,601,pulse,low,bilateral_high,L,inhibitory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-3b906c744cbd8c64,sim-d97a6769b82b46784b5b43b63e3d824d93a909f741168a7ed7fabf6bd640df3c,12,B,601,pulse,medium,normal,L,none,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-5ca8a34b613db313,sim-9f014e13a0090a5ba9d2b04803e9662a6b657aba6466211d4ffb7f65d2119138,12,B,601,pulse,medium,normal,L,excitatory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-f73bcaa366d94c81,sim-14e0dc77d32b1b66e87524abf8d6e83d5ad285f214bcb9fa5eab6d48544fa72f,12,B,601,pulse,medium,normal,L,inhibitory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-93f5eebb02b7f21a,sim-3c11d1d7c9d01530e65001becc19784d7d69a8f0fd663c9a63951bd0f2b6e238,11,B,601,pulse,medium,unilateral,L,none,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-c912a21a1714e8a9,sim-d3ec78b77d51a9efca87c67f8b3bc9f7177f6f681b55b213eaa3b968d396ec6d,11,B,601,pulse,medium,unilateral,L,excitatory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-c18cedce66f33ac1,sim-2e5ddd6dedf37fbe78d89e95cfc7ba31ca2b4684e241a0b36686281069605ed1,11,B,601,pulse,medium,unilateral,L,inhibitory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-edb0a2a83d046c20,sim-84d7b7a2717d95d0b0cb9a46c44dbf6ef862c70aceff4c849ea9f8a7fa821539,11,B,601,pulse,medium,bilateral_high,L,none,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-f37d28d30a95d8ad,sim-b4a8e4967546c7f7463f3f1742bbe674b38cfffb27183435bfe3cb312f21112e,11,B,601,pulse,medium,bilateral_high,L,excitatory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-b9dc213a3184fdc4,sim-51a9d24dce8702c40c7021a7502aabb40fcb4c843aa84edf9c32b8d77a44b0e6,11,B,601,pulse,medium,bilateral_high,L,inhibitory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-3be2e667b6209ba4,sim-729ea54edc687c742ff8b5dd65216148375150226d5a9429afa9c1f3fbc42f23,12,B,601,pulse,high,normal,L,none,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-c8731cc8c22cc203,sim-cad01f00a51ab1d18c82067a3c3285238036da284cfe8edaa48463a5f42ba980,12,B,601,pulse,high,normal,L,excitatory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-3c552a786564d86e,sim-77bcf18033be7ea91c9e300bb4a9dbcb1d8d5faa65a148cf0c5e3bef156d0cf5,12,B,601,pulse,high,normal,L,inhibitory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-789b7bf687642565,sim-508304341647c98172befb8d4ff1648ec06075b1159fc5ddb90d95974fd34a89,11,B,601,pulse,high,unilateral,L,none,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-253e8c796692b26a,sim-f114c7cf7ff5470ed24ef16d2145782c29e3cad8a3a7a656d1e86058df63b03f,11,B,601,pulse,high,unilateral,L,excitatory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-e4f3bb927e58e19a,sim-d37c55b32b045a7a33af61f611b1588ee7113fd052142bb88083029cf18b5f3b,11,B,601,pulse,high,unilateral,L,inhibitory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-5d9788a41b5bdb22,sim-cf2eab2cc7e2db65a1e207e6e2f16033676d2e3a4bbca571664b2c45bd91cd4d,11,B,601,pulse,high,bilateral_high,L,none,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-bc3230255d2421a0,sim-ec54d9cddddd7b2c932b65b76bfd3499ec0727d7e52c4bed5fc828d8e9fd06b6,11,B,601,pulse,high,bilateral_high,L,excitatory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-c3fcc58acb8d083b,sim-e82385f7b1b8eb69900a8963eae4171fd93bdc8a5c06b102cc481e1cf7de1013,11,B,601,pulse,high,bilateral_high,L,inhibitory,V1Ia,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ia
B-aebe52c101ba54e8,sim-4314fcef4f0280151064ff535800b993eca4fb2997ff4d7c16d8407fa0d70375,11,B,601,pulse,low,normal,L,none,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-c433e1086adea1a6,sim-b8fae914a64fb6a56ebbcfaea23453fb2f8e549e8198fff7fb11e2a1beb716b1,11,B,601,pulse,low,normal,L,excitatory,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-c5ec08d75aa3b3d3,sim-828b0b90deb8c1b9bb4ba298f8a6caf81d8c634e57408125bf0caf10b671f638,11,B,601,pulse,low,normal,L,inhibitory,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-88baed9c020a0837,sim-69fa84c2a52b41f9f30ea55ef05e82cb291d25cb5f0f4ab37c8be05c079f5c43,11,B,601,pulse,low,unilateral,L,none,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-8b9611778d6d2329,sim-ffee576b87a279a3b83f662d6a865e7d292ac834dc40a2bcdb806e6c42084eba,11,B,601,pulse,low,unilateral,L,excitatory,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-af729eac643fb23f,sim-751439b25699c9ba61173c0165a43c92895a3855258b1d30a40e431a38c2c8b8,11,B,601,pulse,low,unilateral,L,inhibitory,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-4b318f86f35bc3e6,sim-9f22fe6102407b3be2418ba6f64a6213e1180e324e655ead59809b9774e3b675,11,B,601,pulse,low,bilateral_high,L,none,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-4c49d447ece21715,sim-af4ddf4c4ebd5a3e1301461af448d2a21b554cb5aabe6e1142ff013dd0ef16b8,11,B,601,pulse,low,bilateral_high,L,excitatory,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-39e864d1cea52096,sim-b6cee5c91812205addf4c816157c48cb8c5bcb4c0d5c265fc7ece70ba05f2deb,11,B,601,pulse,low,bilateral_high,L,inhibitory,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-eb79553e46a3607d,sim-9a68df45cf91dfb8d219cac8695927e7767987f82e7e46d32e61050b7ae21737,11,B,601,pulse,medium,normal,L,none,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-833e9a3c7e81faa8,sim-c980928885a4cba2c3dd8be2b76351de81d81e201b931ad290bcbc3b38538054,11,B,601,pulse,medium,normal,L,excitatory,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-08480ed6e0f6ee21,sim-b6b3c82b49b342f87ca5725790f0c4a51fa5a9287d854deb3106cf546c603805,11,B,601,pulse,medium,normal,L,inhibitory,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-af45a33329b8dbcd,sim-ed89665ae422b3ac0275ae3bb4035d1d04654ff1f214bce1229b44e46b7f6f5d,11,B,601,pulse,medium,unilateral,L,none,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-1ecdc2296ee0a4f4,sim-1a4df931b01776f8a1be56a359bffcb2dc356d4800ad5faa4de89f842a335dfc,11,B,601,pulse,medium,unilateral,L,excitatory,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-d1c812eb8b15fb2c,sim-9177959767823ba60e970b2351f6830297ef369630772b33c9d24bb77bc8f3da,11,B,601,pulse,medium,unilateral,L,inhibitory,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-35ffd5cf943e65b1,sim-542aea30520c0ddf5ee578d74dcc70ea74208508d2aeae514a836a2240bfe5c5,11,B,601,pulse,medium,bilateral_high,L,none,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-8fa7485aeb1c7ff7,sim-a026c527465cfa841d399433c2166b79a3215a1cded59f1689020f275882cc86,11,B,601,pulse,medium,bilateral_high,L,excitatory,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-248d52a9c7904375,sim-9e4559c44730d9ccc3419ebdce483c0c1f3ffa3df2e9a5ee3c00b98ec923ff71,11,B,601,pulse,medium,bilateral_high,L,inhibitory,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-1c1ca77b66d4f624,sim-c3ed01870318676ba854c8e5002b5150a2ce6032f92e8b7505088001d767ca10,11,B,601,pulse,high,normal,L,none,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
B-83909756f26d0611,sim-19c721ae28c4d6879d0c89d220393212fbdba024833d76c1ded1c176994ce5aa,11,B,601,pulse,high,normal,L,excitatory,V1Ren,dynamic,none,RG+PF+MN+V0D+V0V+V2a+V3+V1Ia+V1Ren+V2b,dynamic,ablate_V1Ren
